t,x,x_dot,theta,theta_dot,u
0.087,0.0111609,0.241255,0.139131,-0.225767,2.42441
0.088,0.0114033,0.243541,0.138904,-0.227576,2.42441
0.089,0.011648,0.245827,0.138675,-0.22939,2.42441
0.09,0.011895,0.248113,0.138445,-0.231209,2.42441
0.091,0.0121442,0.250399,0.138213,-0.233032,2.42441
0.092,0.0123958,0.252686,0.137979,-0.234861,2.42441
0.093,0.0126496,0.254973,0.137743,-0.236696,2.42441
0.094,0.0129057,0.25726,0.137506,-0.238535,2.42441
0.095,0.0131641,0.259548,0.137266,-0.24038,2.42441
0.096,0.0134248,0.261835,0.137025,-0.24223,2.42441
0.097,0.0136878,0.264123,0.136782,-0.244085,2.42441
0.098,0.013953,0.266411,0.136537,-0.245946,2.42441
0.099,0.0142206,0.2687,0.13629,-0.247812,2.42441
0.1,0.0144903,0.270777,0.136041,-0.249264,2.21237
0.101,0.0147621,0.272854,0.135791,-0.250722,2.21237
0.102,0.015036,0.274932,0.13554,-0.252185,2.21237
0.103,0.015312,0.277009,0.135287,-0.253654,2.21237
0.104,0.0155901,0.279087,0.135033,-0.255129,2.21237
0.105,0.0158702,0.281166,0.134777,-0.256609,2.21237
0.106,0.0161524,0.283244,0.134519,-0.258094,2.21237
0.107,0.0164367,0.285323,0.134261,-0.259586,2.21237
0.108,0.016723,0.287402,0.134,-0.261083,2.21237
0.109,0.0170115,0.289482,0.133738,-0.262586,2.21237
0.11,0.017302,0.291561,0.133475,-0.264094,2.21237
0.111,0.0175946,0.293641,0.13321,-0.265609,2.21237
0.112,0.0178893,0.295721,0.132944,-0.267129,2.21237
0.113,0.018186,0.297802,0.132676,-0.268655,2.21237
0.114,0.0184849,0.299883,0.132406,-0.270187,2.21237
0.115,0.0187858,0.301963,0.132136,-0.271725,2.21237
0.116,0.0190888,0.304045,0.131863,-0.273269,2.21237
0.117,0.0193939,0.306126,0.131589,-0.274819,2.21237
0.118,0.0197011,0.308208,0.131313,-0.276375,2.21237
0.119,0.0200103,0.31029,0.131036,-0.277938,2.21237
0.12,0.0203215,0.312164,0.130758,-0.279092,2.00316
0.121,0.0206346,0.314038,0.130478,-0.280252,2.00316
0.122,0.0209496,0.315912,0.130197,-0.281418,2.00316
0.123,0.0212665,0.317786,0.129915,-0.282591,2.00316
0.124,0.0215852,0.319661,0.129632,-0.28377,2.00316
0.125,0.0219058,0.321536,0.129348,-0.284955,2.00316
0.126,0.0222283,0.323411,0.129062,-0.286146,2.00316
0.127,0.0225526,0.325286,0.128775,-0.287343,2.00316
0.128,0.0228788,0.327162,0.128487,-0.288547,2.00316
0.129,0.0232069,0.329038,0.128198,-0.289757,2.00316
0.13,0.0235369,0.330915,0.127908,-0.290974,2.00316
0.131,0.0238688,0.332791,0.127616,-0.292197,2.00316
0.132,0.0242025,0.334668,0.127324,-0.293426,2.00316
0.133,0.0245381,0.336546,0.127029,-0.294662,2.00316
0.134,0.0248756,0.338423,0.126734,-0.295904,2.00316
0.135,0.0252149,0.340301,0.126438,-0.297153,2.00316
0.136,0.0255562,0.342179,0.12614,-0.298408,2.00316
0.137,0.0258993,0.344058,0.125841,-0.299669,2.00316
0.138,0.0262443,0.345936,0.125541,-0.300938,2.00316
0.139,0.0265912,0.347815,0.125239,-0.302213,2.00316
0.14,0.0269398,0.349491,0.124936,-0.303091,1.79946
0.141,0.0272902,0.351168,0.124633,-0.303975,1.79946
0.142,0.0276422,0.352844,0.124328,-0.304866,1.79946
0.143,0.0279958,0.354521,0.124023,-0.305764,1.79946
0.144,0.0283512,0.356198,0.123717,-0.306669,1.79946
0.145,0.0287082,0.357876,0.12341,-0.30758,1.79946
0.146,0.029067,0.359554,0.123102,-0.308498,1.79946
0.147,0.0294274,0.361232,0.122793,-0.309423,1.79946
0.148,0.0297894,0.36291,0.122483,-0.310355,1.79946
0.149,0.0301532,0.364589,0.122172,-0.311293,1.79946
0.15,0.0305186,0.366268,0.12186,-0.312238,1.79946
